record	source_zr_index	target_zr_index	value	detail
zr_mapping	85	85	mapping_residual_a	2.796025043818e-15
zr_mapping	86	90	mapping_residual_a	1.720630796196e-15
zr_mapping	87	89	mapping_residual_a	0.000000000000e+00
zr_mapping	88	88	mapping_residual_a	0.000000000000e+00
zr_mapping	89	87	mapping_residual_a	8.603153980978e-16
zr_mapping	90	86	mapping_residual_a	1.720630796196e-15
zr_mapping	91	91	mapping_residual_a	2.796025043818e-15
zr_mapping	92	96	mapping_residual_a	1.720630796196e-15
zr_mapping	93	95	mapping_residual_a	0.000000000000e+00
zr_mapping	94	94	mapping_residual_a	0.000000000000e+00
zr_mapping	95	93	mapping_residual_a	8.603153980978e-16
zr_mapping	96	92	mapping_residual_a	1.720630796196e-15
source			t_poscar_sha256	832d12f0d12d9c041bbfed42363eb45f0c531d457cbcf390baea18ed83eba774
source			t_contcar_sha256	409a48cf8dd2aa79b3d5690377cb11f6bd6942eddd2e753302d1c4e5c183568f
operation			fractional_transform	x'=x; y'=y; z'=(7/6-z) mod 1
