path	image	h_step_a	h_cumulative_a	h_step_basal_a	h_step_c_a	minimum_pair_a
TT_c	00	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873
TT_c	01	0.24828850	0.24828850	0.00000000	0.24828850	1.94811877
TT_c	02	0.24828850	0.49657700	0.00000000	0.24828850	1.91236912
TT_c	03	0.24828850	0.74486550	0.00000000	0.24828850	1.91236912
TT_c	04	0.24828850	0.99315400	0.00000000	0.24828850	1.94811877
TT_c	05	0.24828850	1.24144250	0.00000000	0.24828850	2.01771873
