path	image	h_step_a	h_cumulative_a	h_step_basal_a	h_step_c_a	minimum_pair_a
TO	00	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873
TO	01	0.39702998	0.39702998	0.37367782	-0.13415548	1.91501160
TO	02	0.39702998	0.79405997	0.37367782	-0.13415548	1.89356994
TO	03	0.39702998	1.19108995	0.37367782	-0.13415548	1.95606800
TO	04	0.39702998	1.58811993	0.37367782	-0.13415548	2.09350214
TO	05	0.39702998	1.98514991	0.37367782	-0.13415548	2.29654980
