path	stage	stage_kind	job_id	stage_iteration	global_iteration	peak_image	barrier_forward_ev	barrier_reverse_ev
TT_c	ci_01	ci_neb	62298828	45	74	03	0.12676478	0.12676478
TT_c	ci_01	ci_neb	62298828	46	75	03	0.12682478	0.12682478
TT_c	ci_01	ci_neb	62298828	47	76	03	0.12688478	0.12688478
TT_c	ci_01	ci_neb	62298828	48	77	03	0.12695478	0.12695478
TT_c	ci_01	ci_neb	62298828	49	78	03	0.12701478	0.12701478
TT_c	ci_01	ci_neb	62298828	50	79	03	0.12708478	0.12708478
TT_c	ci_01	ci_neb	62298828	51	80	03	0.12714478	0.12714478
TT_c	ci_01	ci_neb	62298828	52	81	03	0.12720478	0.12720478
TT_c	ci_01	ci_neb	62298828	53	82	03	0.12726478	0.12726478
TT_c	ci_01	ci_neb	62298828	54	83	03	0.12732478	0.12732478
TT_c	ci_01	ci_neb	62298828	55	84	03	0.12738478	0.12738478
TT_c	ci_01	ci_neb	62298828	56	85	03	0.12744478	0.12744478
TT_c	ci_01	ci_neb	62298828	57	86	03	0.12749478	0.12749478
TT_c	ci_01	ci_neb	62298828	58	87	03	0.12755478	0.12755478
TT_c	ci_01	ci_neb	62298828	59	88	03	0.12760478	0.12760478
TT_c	ci_01	ci_neb	62298828	60	89	03	0.12765478	0.12765478
TT_c	ci_01	ci_neb	62298828	61	90	03	0.12771478	0.12771478
TT_c	ci_01	ci_neb	62298828	62	91	03	0.12775478	0.12775478
TT_c	ci_01	ci_neb	62298828	63	92	03	0.12780478	0.12780478
TT_c	ci_01	ci_neb	62298828	64	93	03	0.12785478	0.12785478
TT_c	ci_01	ci_neb	62298828	65	94	03	0.12789478	0.12789478
TT_c	ci_01	ci_neb	62298828	66	95	03	0.12794478	0.12794478
TT_c	ci_01	ci_neb	62298828	67	96	03	0.12798478	0.12798478
TT_c	ci_01	ci_neb	62298828	68	97	03	0.12802478	0.12802478
TT_c	ci_01	ci_neb	62298828	69	98	03	0.12807478	0.12807478
TT_c	ci_01	ci_neb	62298828	70	99	03	0.12810478	0.12810478
TT_c	ci_01	ci_neb	62298828	71	100	03	0.12815478	0.12815478
TT_c	ci_01	ci_neb	62298828	72	101	03	0.12819478	0.12819478
TT_c	ci_01	ci_neb	62298828	73	102	03	0.12822478	0.12822478
TT_c	ci_01	ci_neb	62298828	74	103	03	0.12826478	0.12826478
