path	saddle_image	start_e0_ev	end_e0_ev	barrier_forward_ev	barrier_reverse_ev	final_max_projected_force_ev_a	force_margin_ev_a	saddle_final_projected_force_ev_a	pre_iterations	ci_iterations	final_ci_iterations	total_iterations	h_direct_distance_a	h_path_length_a	path_tortuosity	max_lateral_deviation_a	minimum_pair_a	minimum_pair_image	last12_force_strictly_decreasing	acceptance_status
TT_c	03	-821.9535947800	-821.9535947800	0.12919004	0.12919004	0.02975300	0.00024700	0.02975300	29	126	126	155	1.24144250	1.24145558	1.00001054	0.00207234	1.98330676	03	yes	PASS_HDF5_POSTRUN
TO	02	-821.9535947800	-821.8906907800	0.42502420	0.36212020	0.02960000	0.00040000	0.02392800	37	136	135	173	1.98514991	1.98999879	1.00244258	0.05658451	1.93234117	02	yes	PASS_HDF5_POSTRUN
